Date,FCN,CNN,LSTM
2013-12-26,-0.0005634313746005,-0.012092015272349384,0.0005940374485957451
2013-12-27,0.0003759591274183,0.010488205432184839,0.0020276950524859647
2013-12-30,0.0009391891007908,0.08460079703657959,0.019067006175357802
2013-12-31,-0.0009391891007908,0.0117303283034672,0.004890063623110926
2014-01-02,0.0006578610197234,0.03649773817122751,0.0011516999163026951
2014-01-03,0.0003751167857162,-0.03358653079384302,-0.00749034771809429
2014-01-06,0.0013131164490989,-0.015379287737293822,-0.004716572518162344
2014-01-07,0.0004682871942405,-0.04761005714170438,-0.005541916618544706
2014-01-08,-0.0030027069412268,-0.0038774915435605115,-0.0010759522475845434
2014-01-09,0.0014088543223476,0.0015528308700260567,0.0005065350121572544
2014-01-10,0.0050543297725145,-0.05994602967393894,-0.010628278703450261
2014-01-13,0.0009337681606202,0.08975331002708635,0.011479446430526953
2014-01-14,-0.0014935080786635,-0.0782872229652001,-0.011463029886341174
2014-01-15,-0.0008411926120501,6.739107495295742e-13,0.003324666961326329
2014-01-16,0.0023347006907137,0.020153846622664073,0.004251666444978192
2014-01-17,0.0004661965635142,-0.007208694017677081,-0.004096056027899684
2014-01-21,0.0004664300518175,0.03398195913668599,0.01023418063893105
2014-01-22,-0.0021461352324685,-0.002333702570068141,0.0007684828282635453
2014-01-23,0.002611536899443,0.06992703583717769,0.010559446943490676
2014-01-24,0.002140903462104,0.27562706505300255,0.04944406615429007
2014-01-27,-0.002140903462104,-0.04050043523703567,-0.01360198773778657
2014-01-28,0.0016755078640802,-0.09760902369841146,-0.009553601538964908
2014-01-29,0.0029714775765512,0.09358257627328069,0.006450019645767829
2014-01-30,0.000185183516721,-0.00346417573143205,0.007208487759179138
2014-01-31,0.0018525470870427,0.06276563430934108,0.0038854221089888617
2014-02-03,0.0033875822446249,0.1523643741521707,0.003021637557088848
2014-02-04,-0.0024054114843723,-0.11504657092006329,-0.00661108904148089
2014-02-05,-0.0025036252508154,0.043017391387212715,0.0008155964989841696
2014-02-06,-0.0004645288887852,-0.14657715760552753,-0.0002369000062297788
2014-02-07,0.0015779455477389,-0.11945300652476243,0.0037333135388031378
2014-02-10,0.0010201403637992,-0.0019639765908579933,0.0004101923877604314
2014-02-11,-0.0019482002103599,-0.05039695818405637,0.0026801864658213548
2014-02-12,-0.0016721426449537,-0.01457853206610973,-0.0009496474940285697
2014-02-13,0.0021361906490513,-0.011251865854808654,0.0030533737280908427
2014-02-14,5.35253259408124e-26,-0.041146233390602305,-0.0030241403284646464
2014-02-18,0.0006490728864996,0.021866774718203145,0.006541447777909055
2014-02-19,-0.0007417935901719,0.11111179784890488,0.016070543484157054
2014-02-20,-0.0005566841128183,-0.04688874978105978,-0.004331094725484806
