Date,MAX_SHARPE,SPY
2013-05-22,0.9739146736922434,0.25585464525746665
2013-05-29,0.9808642991408055,0.2515668971412945
2013-06-04,0.9851095352655461,0.24146881373089576
2013-06-10,0.995702415267818,0.24902128437411217
2013-06-14,0.9810630009567196,0.23914273030042266
2013-06-20,0.9724828424287711,0.21570561320128123
2013-06-26,0.9806192204323162,0.22561462221439704
2013-07-02,0.9977098216814608,0.23227415066796325
2013-07-09,1.012559078169893,0.25629925541968684
2013-07-15,1.0434761614500196,0.2744226086952849
2013-07-19,1.0402356784618494,0.2804703802289588
2013-07-25,1.02384186622037,0.2790506749944469
2013-07-31,1.0125277172837686,0.27774759640447055
2013-08-06,1.023501662411257,0.2837749194008189
2013-08-12,1.0354643044449914,0.28011537087360516
2013-08-16,1.0143550419327172,0.260529085877406
2013-08-22,0.9998901499433156,0.2619152698691577
2013-08-28,0.9692989125022838,0.248884141983622
2013-09-04,0.9938041134337109,0.2600466192786926
2013-09-10,1.0406846476178704,0.2786950522438048
2013-09-16,1.031076026824334,0.28718642904770947
2013-09-20,1.048709360067896,0.29445343836276366
2013-09-26,1.0612076277948923,0.2884021875502095
2013-10-02,1.0644482966200908,0.2853917220205062
2013-10-08,1.0366167772726635,0.26327862587739503
2013-10-14,1.0877536344423302,0.2957411542727425
2013-10-18,1.1049824680788751,0.3157229758306161
2013-10-24,1.1399108875965547,0.3200712926721062
2013-10-30,1.1441937344560327,0.32655888340437705
2013-11-05,1.1427422155803306,0.32644547536493407
2013-11-11,1.1530731352378998,0.3323848661105624
2013-11-15,1.1819159772841485,0.34766304900540845
2013-11-21,1.1869632313888052,0.346885512724696
2013-11-27,1.1762514289908137,0.3535886953462768
2013-12-04,1.1448087846134312,0.34588442476103964
2013-12-10,1.1459739357358405,0.35154351087521024
2013-12-16,1.1473988986263821,0.34304308212222817
2013-12-20,1.167415775238801,0.3614291444807195
2013-12-27,1.1738816788408135,0.37396309155573193
2014-01-03,1.1837046800159996,0.3687278419469167
2014-01-09,1.1591566343734363,0.3728203133390118
2014-01-15,1.1583909939976231,0.37835939152800535
2014-01-22,1.155441128594236,0.376407866144211
2014-01-28,1.1305169562127282,0.3476197328243274
2014-02-03,1.1105895685678624,0.3198747691105456
2014-02-07,1.1420410317828298,0.35102043872679367
2014-02-13,1.1492500274775315,0.36938372410353254
2014-02-20,1.138874900941066,0.3753220814430073
2014-02-26,1.1328526211188548,0.37938761098224183
2014-03-04,1.1732879819726467,0.3940484002594055
2014-03-10,1.1925298997424034,0.3971358028868335
2014-03-14,1.1656990334342583,0.37835939152800485
2014-03-20,1.1715078211064252,0.39495462586776725
2014-03-26,1.1298973606967249,0.3844405824150089
2014-04-01,1.141989611046526,0.40201786803004813
2014-04-07,1.0707393659097457,0.3810288157279174
2014-04-11,1.051196440089514,0.3655576255795797
2014-04-17,1.0962061398847436,0.3920881845930179
2014-04-24,1.0895972046343925,0.39978410985213164
2014-04-30,1.0749774072818885,0.4023361843339963
2014-05-06,1.0828736078694443,0.3941782718517201
2014-05-12,1.110429513162454,0.4101652515033091
2014-05-16,1.0836567976977816,0.40095482806661953
2014-05-22,1.105306919588407,0.4091108418966867
2014-05-29,1.104362437516303,0.4236675680223269
2014-06-04,1.1077258203919325,0.42792114429863903
2014-06-10,1.1131101323575812,0.4403185213768875
2014-06-16,1.0998197940530698,0.4335989486022293
2014-06-20,1.1060859811846695,0.44683570779501236
2014-06-26,1.1195609073470203,0.4442806586229042
2014-07-02,1.1415510026119011,0.4533976936285956
2014-07-09,1.1316602981810138,0.4528398952340907
2014-07-15,1.124149304503932,0.4533976936285956
2014-07-21,1.1320265366704196,0.45395499820575713
2014-07-25,1.1252007804792752,0.4558790322236895
2014-07-31,1.0981242726689437,0.4321835213883519
2014-08-06,1.076155302972966,0.4268871797461524
2014-08-12,1.0817418143122712,0.4344596993159393
2014-08-18,1.1160671200892291,0.45405693286627663
2014-08-22,1.1259172975545237,0.46328622769855454
2014-08-28,1.122318536120664,0.4680442083554895
