,Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight
6098,1447295173.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662274,PLANT03,PORT09,316,1.1628828828828826
6099,1447406927.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663337,PLANT03,PORT09,339,1.241869552149083
6100,1447219010.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662238,PLANT03,PORT09,372,8.58
6101,1447198422.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663347,PLANT03,PORT09,441,8.403621533442086
6102,1447166634.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663347,PLANT03,PORT09,351,3.0283320841232744
6103,1447207102.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663347,PLANT03,PORT09,679,29.26
6104,1447376935.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663337,PLANT03,PORT09,715,33.34
6105,1447238364.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663341,PLANT03,PORT09,1263,78.76
6106,1447151163.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663337,PLANT03,PORT09,1261,74.7
6107,1447238363.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663347,PLANT03,PORT09,1235,68.6
6108,1447376936.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663337,PLANT03,PORT09,824,43.58
6109,1447173599.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663347,PLANT03,PORT09,1253,70.62
6110,1447266887.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663341,PLANT03,PORT09,1322,76.56
6111,1447266886.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663347,PLANT03,PORT09,1279,77.5
6112,1447390542.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663337,PLANT03,PORT09,2289,136.46
6113,1447163352.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663337,PLANT03,PORT09,1257,69.1
6114,1447326471.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1663337,PLANT03,PORT09,1580,85.16
6115,1447163354.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662274,PLANT03,PORT09,800,32.84
6116,1447219922.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662238,PLANT03,PORT09,800,33.84
6117,1447297178.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662274,PLANT03,PORT09,991,47.96
6118,1447269486.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,606,9.586423490237628
6119,1447383917.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,559,8.947328590888453
6120,1447209517.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,577,9.586423490237628
6121,1447365607.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,500,6.998089147873468
6122,1447266852.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,537,9.01123808082337
6123,1447185748.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,838,17.182249886484033
6124,1447156548.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,249,0.06390948993491752
6125,1447404203.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,573,8.947328590888453
6126,1447283702.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,625,9.586423490237628
6127,1447156547.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672664,PLANT03,PORT09,718,11.96
6128,1447346495.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,402,2.507960346484814
6129,1447323815.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,372,2.4034619987146133
6130,1447266959.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,490,4.179933910808023
6131,1447160032.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,305,0.6269900866212035
6132,1447367949.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,266,0.4388930606348424
6133,1447168943.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,493,4.556127962780745
6134,1447237680.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,423,2.507960346484814
6135,1447156545.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,295,0.18809702598636102
6136,1447389167.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,509,4.179933910808023
6137,1447209515.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,538,4.535228293226705
6138,1447237679.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672661,PLANT03,PORT09,363,2.507960346484814
6139,1447251211.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672085,PLANT03,PORT09,338,1.416817313621575
6140,1447291625.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672085,PLANT03,PORT09,307,0.56672692544863
6141,1447406925.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672085,PLANT03,PORT09,253,0.56672692544863
6142,1447382106.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1671951,PLANT03,PORT09,367,13.799999999999999
6143,1447167559.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1671942,PLANT03,PORT09,1333,120.26
6144,1447163429.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1671942,PLANT03,PORT09,1313,114.24
6145,1447348449.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672006,PLANT03,PORT09,425,16.00746987951807
6146,1447246087.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1672006,PLANT03,PORT09,452,26.58
6147,1447163428.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1671939,PLANT03,PORT09,717,42.51781315833515
6148,1447167557.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1671939,PLANT03,PORT09,854,68.42961403356348
6149,1447167558.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1671939,PLANT03,PORT09,771,51.47371359594932
6150,1447163643.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1691532,PLANT03,PORT09,4333,6.417561459311334
6151,1447348475.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1699954,PLANT03,PORT09,312,0.3260132560429946
6152,1447361724.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1699954,PLANT03,PORT09,267,0.04657332229185637
6153,1447295866.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1699954,PLANT03,PORT09,272,0.3260132560429946
