,Plant Code,Product ID
171,PLANT02,1682648
172,PLANT02,1682651
173,PLANT02,1682709
174,PLANT02,1682727
175,PLANT02,1682736
176,PLANT02,1682754
177,PLANT02,1682757
178,PLANT02,1682760
179,PLANT02,1682763
180,PLANT02,1682766
181,PLANT02,1682769
182,PLANT02,1682772
183,PLANT02,1682778
184,PLANT02,1682787
185,PLANT02,1682790
186,PLANT02,1682793
187,PLANT02,1682796
188,PLANT02,1682799
189,PLANT02,1682802
190,PLANT02,1682805
191,PLANT02,1682832
192,PLANT02,1682835
193,PLANT02,1682853
194,PLANT02,1682859
195,PLANT02,1682862
196,PLANT02,1682869
197,PLANT02,1683134
198,PLANT02,1683392
199,PLANT02,1683397
200,PLANT02,1683401
201,PLANT02,1683403
202,PLANT02,1683405
203,PLANT02,1683407
204,PLANT02,1683409
205,PLANT02,1683419
206,PLANT02,1683426
207,PLANT02,1683432
208,PLANT02,1683523
209,PLANT02,1683525
210,PLANT02,1683527
211,PLANT02,1683739
212,PLANT02,1683749
213,PLANT02,1683760
214,PLANT02,1683769
215,PLANT02,1683773
216,PLANT02,1683808
217,PLANT02,1684637
218,PLANT02,1684644
219,PLANT02,1684645
220,PLANT02,1684646
221,PLANT02,1684649
222,PLANT02,1684659
223,PLANT02,1684722
224,PLANT02,1684724
225,PLANT02,1684725
226,PLANT02,1684728
227,PLANT02,1684730
228,PLANT02,1684740
229,PLANT02,1684741
230,PLANT02,1684743
231,PLANT02,1684752
232,PLANT02,1684767
233,PLANT02,1684768
234,PLANT02,1684771
235,PLANT02,1684772
236,PLANT02,1684773
237,PLANT02,1685107
238,PLANT02,1687191
239,PLANT02,1688285
240,PLANT02,1688288
241,PLANT02,1688290
242,PLANT02,1688292
243,PLANT02,1688294
244,PLANT02,1688571
245,PLANT02,1688575
246,PLANT02,1688587
247,PLANT02,1688589
248,PLANT02,1688610
249,PLANT02,1688621
250,PLANT02,1688629
251,PLANT02,1688633
252,PLANT02,1689543
253,PLANT02,1689544
254,PLANT02,1689545
255,PLANT02,1689546
256,PLANT02,1689547
257,PLANT02,1689548
258,PLANT02,1689549
259,PLANT02,1689550
